timestamp,text,location,sentiment_score,sentiment
2024-05-17,2 exams. 1 projects. Send help - 2b86,"New Brunswick, NJ",0.4019,positive
2024-03-01,Essays got me like '😩' - 036e,"New Brunswick, NJ",0.3612,positive
2024-06-11,5 exams. 3 projects. I’m not okay - a271,"New Brunswick, NJ",-0.1695,negative
2024-05-18,Library snacks: chips. Mood: delusional - b0a9,"New Brunswick, NJ",0.0,neutral
2024-05-20,Library snacks: ramen. Mood: exhausted - b795,"New Brunswick, NJ",-0.3612,negative
2024-04-02,I just submitted an assignment at 3AM and now I have class in 2 hour(s) - 0c4e,"New Brunswick, NJ",0.0,neutral
2024-05-13,I just submitted an assignment at 3AM and now I have class in 3 hour(s) - a741,"New Brunswick, NJ",0.0,neutral
2024-03-07,I just submitted an assignment at 3AM and now I have class in 3 hour(s) - d026,"New Brunswick, NJ",0.0,neutral
2024-06-06,My professor said 'this will be easy' and now I’m crying - a0ee,"New Brunswick, NJ",-0.0516,negative
2024-06-15,I just submitted an assignment at 4:30AM and now I have class in 2 hour(s) - 0bbc,"New Brunswick, NJ",0.0,neutral
2024-06-29,I just submitted an assignment at 6AM and now I have class in 2 hour(s) - 38ef,"New Brunswick, NJ",0.0,neutral
2024-03-06,Midterms got me like '😭' - d8bf,"New Brunswick, NJ",0.3612,positive
2024-06-22,Library snacks: chips. Mood: exhausted - 669b,"New Brunswick, NJ",-0.3612,negative
2024-06-21,2 exams. 2 projects. Send help - f78f,"New Brunswick, NJ",0.4019,positive
2024-05-11,Essays got me like '😩' - a632,"New Brunswick, NJ",0.3612,positive
2024-04-18,My professor said 'this will be easy' and now I’m crying - 92dd,"New Brunswick, NJ",-0.0516,negative
2024-05-25,I just submitted an assignment at 6AM and now I have class in 3 hour(s) - b553,"New Brunswick, NJ",0.0,neutral
2024-05-12,Essays got me like '😩' - 4331,"New Brunswick, NJ",0.3612,positive
2024-03-14,Midterms got me like '😭' - 9031,"New Brunswick, NJ",0.3612,positive
2024-03-30,Library snacks: chips. Mood: exhausted - 2842,"New Brunswick, NJ",-0.3612,negative
2024-04-19,I just submitted an assignment at 4:30AM and now I have class in 3 hour(s) - 0548,"New Brunswick, NJ",0.0,neutral
2024-05-28,Midterms got me like '😵‍💫' - 25af,"New Brunswick, NJ",0.3612,positive
2024-06-05,Midterms got me like '😩' - 3679,"New Brunswick, NJ",0.3612,positive
2024-05-15,Library snacks: chips. Mood: exhausted - 6435,"New Brunswick, NJ",-0.3612,negative
2024-04-29,My professor said 'this will be easy' and now I’m crying - b0e2,"New Brunswick, NJ",-0.0516,negative
2024-04-30,Finals got me like '😵‍💫' - eccc,"New Brunswick, NJ",0.3612,positive
2024-03-17,3 exams. 3 projects. Send help - 247b,"New Brunswick, NJ",0.4019,positive
2024-06-04,I just submitted an assignment at 4:30AM and now I have class in 1 hour(s) - b1a7,"New Brunswick, NJ",0.0,neutral
2024-04-11,I just submitted an assignment at 3AM and now I have class in 2 hour(s) - e17d,"New Brunswick, NJ",0.0,neutral
2024-03-18,I just submitted an assignment at 4:30AM and now I have class in 3 hour(s) - a6ee,"New Brunswick, NJ",0.0,neutral
2024-05-14,Essays got me like '😭' - 457f,"New Brunswick, NJ",0.3612,positive
2024-05-06,Library snacks: ramen. Mood: numb - 21ac,"New Brunswick, NJ",-0.34,negative
2024-05-17,Midterms got me like '😩' - 9078,"New Brunswick, NJ",0.3612,positive
2024-05-08,Finals got me like '😩' - 6643,"New Brunswick, NJ",0.3612,positive
2024-05-19,Library snacks: chips. Mood: numb - 8454,"New Brunswick, NJ",-0.34,negative
2024-06-21,Finals got me like '😩' - ee47,"New Brunswick, NJ",0.3612,positive
2024-05-31,4 exams. 2 projects. Pray for me - 77c3,"New Brunswick, NJ",0.3182,positive
2024-03-29,Library snacks: coffee. Mood: delusional - f5bf,"New Brunswick, NJ",0.0,neutral
2024-05-21,Library snacks: coffee. Mood: exhausted - 5660,"New Brunswick, NJ",-0.3612,negative
2024-03-05,Finals got me like '😭' - 98ce,"New Brunswick, NJ",0.3612,positive
2024-06-19,I just submitted an assignment at 6AM and now I have class in 2 hour(s) - 2487,"New Brunswick, NJ",0.0,neutral
2024-03-04,Finals got me like '😩' - b1c9,"New Brunswick, NJ",0.3612,positive
2024-03-07,Library snacks: coffee. Mood: numb - 652b,"New Brunswick, NJ",-0.34,negative
2024-05-27,4 exams. 3 projects. Pray for me - c611,"New Brunswick, NJ",0.3182,positive
2024-03-16,Finals got me like '😩' - c62e,"New Brunswick, NJ",0.3612,positive
2024-06-22,Finals got me like '😵‍💫' - cabc,"New Brunswick, NJ",0.3612,positive
2024-04-16,Library snacks: ramen. Mood: numb - 74d2,"New Brunswick, NJ",-0.34,negative
2024-04-26,Finals got me like '😩' - 4a28,"New Brunswick, NJ",0.3612,positive
2024-04-22,My professor said 'this will be easy' and now I’m crying - 62c5,"New Brunswick, NJ",-0.0516,negative
2024-03-18,Midterms got me like '😭' - bdf3,"New Brunswick, NJ",0.3612,positive
2024-05-07,5 exams. 3 projects. Pray for me - 8f92,"New Brunswick, NJ",0.3182,positive
2024-03-25,Essays got me like '😭' - e226,"New Brunswick, NJ",0.3612,positive
2024-03-11,Essays got me like '😭' - 6c52,"New Brunswick, NJ",0.3612,positive
2024-05-17,Midterms got me like '😩' - 544e,"New Brunswick, NJ",0.3612,positive
2024-06-26,My professor said 'this will be easy' and now I’m crying - dce4,"New Brunswick, NJ",-0.0516,negative
2024-04-27,2 exams. 1 projects. Pray for me - 4a71,"New Brunswick, NJ",0.3182,positive
2024-04-22,My professor said 'this will be easy' and now I’m crying - d1b1,"New Brunswick, NJ",-0.0516,negative
2024-05-29,Finals got me like '😩' - efc0,"New Brunswick, NJ",0.3612,positive
2024-03-14,Midterms got me like '😵‍💫' - 5548,"New Brunswick, NJ",0.3612,positive
2024-04-04,I just submitted an assignment at 4:30AM and now I have class in 3 hour(s) - 9e8e,"New Brunswick, NJ",0.0,neutral
2024-03-30,Library snacks: ramen. Mood: delusional - 4f43,"New Brunswick, NJ",0.0,neutral
2024-04-09,4 exams. 2 projects. Pray for me - 48bf,"New Brunswick, NJ",0.3182,positive
2024-06-08,2 exams. 2 projects. Send help - a436,"New Brunswick, NJ",0.4019,positive
2024-04-14,Essays got me like '😩' - f285,"New Brunswick, NJ",0.3612,positive
2024-04-11,I just submitted an assignment at 6AM and now I have class in 3 hour(s) - 1880,"New Brunswick, NJ",0.0,neutral
2024-03-17,Library snacks: ramen. Mood: numb - 76af,"New Brunswick, NJ",-0.34,negative
2024-05-26,I just submitted an assignment at 4:30AM and now I have class in 2 hour(s) - 2626,"New Brunswick, NJ",0.0,neutral
2024-03-28,I just submitted an assignment at 6AM and now I have class in 1 hour(s) - ce2d,"New Brunswick, NJ",0.0,neutral
2024-04-05,My professor said 'this will be easy' and now I’m crying - fb56,"New Brunswick, NJ",-0.0516,negative
2024-06-18,Library snacks: chips. Mood: numb - 8c8c,"New Brunswick, NJ",-0.34,negative
2024-03-21,Library snacks: chips. Mood: delusional - c644,"New Brunswick, NJ",0.0,neutral
2024-03-11,I just submitted an assignment at 6AM and now I have class in 3 hour(s) - d1d1,"New Brunswick, NJ",0.0,neutral
2024-04-11,Library snacks: ramen. Mood: delusional - c582,"New Brunswick, NJ",0.0,neutral
2024-05-02,Library snacks: ramen. Mood: delusional - 946c,"New Brunswick, NJ",0.0,neutral
2024-05-09,4 exams. 2 projects. Send help - 8953,"New Brunswick, NJ",0.4019,positive
